CRS;REGIAO_SAU;MUNICIPIO;TOTAL_DOSES_LIBERADAS;TRAB_SAUDE_70;TRAB_SAUDE_70_VAC;a;INDIGENAS;INDIGENAS_VAC;MAIOR_60;MAIOR_60_VAC;META_1a_FASE;TOTAL_VAC;TOTAL_VAC_ESUS
12º CRS;ARAGUAIA;SAO FELIX DO XINGU;627;1379;229;16,61;842;0;19;3;2240;232;44
12º CRS;ARAGUAIA;AGUA AZUL DO NORTE;177;177;29;16,38;0;0;0;0;177;29;78
12º CRS;ARAGUAIA;OURILANDIA DO NORTE;593;1473;229;15,55;880;3;4;4;2357;236;135
9º CRS;TAPAJOS;NOVO PROGRESSO;1009;919;140;15,23;691;0;0;0;1610;140;144
12º CRS;ARAGUAIA;TUCUMA;615;615;70;11,38;0;0;0;0;615;70;28
10º CRS;XINGU;ANAPU;1112;1112;125;11,24;882;0;0;0;1994;125;121
12º CRS;ARAGUAIA;FLORESTA DO ARAGUAIA;234;234;26;11,11;0;0;0;0;234;26;77
10º CRS;XINGU;SENADOR JOSE PORFIRIO;670;670;66;9,85;544;0;0;0;1214;66;87
12º CRS;ARAGUAIA;PAU D'ARCO;104;284;27;9,51;180;0;0;0;464;27;65
12º CRS;ARAGUAIA;CUMARU DO NORTE;115;895;38;4,25;780;0;0;0;1675;38;42
9º CRS;TAPAJOS;JACAREACANGA;4918;4888;78;1,60;4694;0;0;0;9582;78;49
12º CRS;ARAGUAIA;SANTA MARIA DAS BARREIRAS;240;240;0;0,00;0;0;0;0;240;0;14
12º CRS;ARAGUAIA;SANTANA DO ARAGUAIA;326;356;0;0,00;30;0;13;0;399;0;16
12º CRS;ARAGUAIA;XINGUARA;640;640;0;0,00;0;0;8;0;648;0;273
